Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Quarter,Year
17-Aug-21,1703.900024,1748.900024,1686.550049,1741.650024,1645.247192,9510390,17,8,3,2021
18-Aug-21,1729,1755.5,1727,1733.449951,1637.500977,6686090,18,8,3,2021
20-Aug-21,1716.099976,1745,1716.099976,1732.949951,1637.028809,6206972,20,8,3,2021
23-Aug-21,1735.75,1753.150024,1732,1738.75,1642.50769,6189051,23,8,3,2021
24-Aug-21,1750,1757,1712.699951,1720.849976,1625.598389,7602939,24,8,3,2021
25-Aug-21,1718,1746.900024,1718,1735.550049,1639.484863,6153253,25,8,3,2021
26-Aug-21,1734,1746,1720,1727.699951,1632.069214,5302248,26,8,3,2021
27-Aug-21,1725,1727.699951,1705.199951,1708.800049,1614.215454,6698514,27,8,3,2021
30-Aug-21,1703.050049,1718.650024,1690.400024,1698.050049,1604.060669,6559667,30,8,3,2021
31-Aug-21,1700.150024,1715,1685.849976,1706.449951,1611.995483,12255438,31,8,3,2021
01-Sep-21,1709.5,1709.5,1673.150024,1677.75,1584.884033,7801974,1,9,3,2021
02-Sep-21,1677.349976,1694.300049,1662.650024,1689.099976,1595.605835,6830050,2,9,3,2021
03-Sep-21,1696.050049,1705.949951,1684.400024,1700.650024,1606.516602,5339139,3,9,3,2021
06-Sep-21,1705.150024,1732,1699.349976,1730.400024,1634.619873,4876026,6,9,3,2021
07-Sep-21,1730,1734.900024,1704,1706.650024,1612.184448,3520341,7,9,3,2021
08-Sep-21,1700.849976,1700.849976,1682.949951,1693.25,1599.526123,4584896,8,9,3,2021
09-Sep-21,1685.900024,1694.900024,1682.150024,1691.599976,1597.967407,3331674,9,9,3,2021
13-Sep-21,1683,1701.5,1675.199951,1691.900024,1598.250977,4662374,13,9,3,2021
14-Sep-21,1695.949951,1695.949951,1678.599976,1686.150024,1592.819214,4945167,14,9,3,2021
15-Sep-21,1693.25,1715.099976,1690.199951,1711.449951,1616.71875,4062344,15,9,3,2021
16-Sep-21,1715.199951,1719.25,1691.449951,1702.25,1608.028076,3246568,16,9,3,2021
17-Sep-21,1697,1718,1684.449951,1691.300049,1597.684204,7454864,17,9,3,2021
20-Sep-21,1685,1707.699951,1677.949951,1687.849976,1594.425171,5660743,20,9,3,2021
21-Sep-21,1700,1726.75,1684.650024,1718.449951,1623.331299,4672222,21,9,3,2021
22-Sep-21,1717,1738.900024,1713.050049,1716.900024,1621.867188,4553892,22,9,3,2021
23-Sep-21,1732,1745,1721.099976,1742.550049,1646.097412,3826090,23,9,3,2021
24-Sep-21,1758,1788,1752.449951,1763.849976,1666.218384,8280446,24,9,3,2021
27-Sep-21,1768.75,1769,1718.099976,1721.150024,1625.881958,5045337,27,9,3,2021
28-Sep-21,1710,1710,1675,1687.099976,1593.716553,6557197,28,9,3,2021
29-Sep-21,1659.25,1701.400024,1655,1692.25,1598.581543,7792548,29,9,3,2021
30-Sep-21,1703,1703,1670.099976,1675.199951,1582.47522,6914031,30,9,3,2021
01-Oct-21,1665.099976,1678.949951,1661.25,1665.150024,1572.981445,5733906,1,10,4,2021
04-Oct-21,1672.5,1688,1665.400024,1678.75,1585.828735,2947154,4,10,4,2021
05-Oct-21,1671,1702.949951,1663,1692.800049,1599.101196,4373310,5,10,4,2021
06-Oct-21,1702.099976,1709,1670,1673.550049,1580.916748,4271698,6,10,4,2021
07-Oct-21,1687,1704.199951,1676.650024,1691,1597.400757,5476108,7,10,4,2021
08-Oct-21,1705.25,1731.5,1698.400024,1723.849976,1628.432373,4738376,8,10,4,2021
11-Oct-21,1682,1730,1663.699951,1690.949951,1597.353394,8840633,11,10,4,2021
12-Oct-21,1677,1689,1662,1685.150024,1591.874634,7439300,12,10,4,2021
13-Oct-21,1695.949951,1713.650024,1680.050049,1709.199951,1614.593262,7104171,13,10,4,2021
